47,9121000577213501,3448j8152,-28.54,1-1-2-4-17,เกษตรพัฒนา ม.3,06/08/2026 17:13,
48,9121000577257801,3442j8984,-28.24,0-0-3-3-19,บางปลา_C600,06/08/2026 14:35,
49,9121000577038001,3441j5179,-28.24,0-0-1-8-2,OLT Outdoor กาหลง-นาโคก,05/08/2026 19:32,
50,9121000577037801,5030271539,-29.588,0-0-1-1-7,NT1_SiteNT2_10.158.20.136,05/08/2026 17:03,
51,9121000577037701,5030040177,-29.21,0-0-1-1-6,NT1_SiteNT2_10.158.20.136,05/08/2026 17:03,
52,9121000577037901,TDNO07327540,-29.21,0-0-1-1-11,NT1_SiteNT2_10.158.20.136,05/08/2026 17:03,
53,9121000576816301,3448j7159,-28.24,2-0-1-2-27,OLT Outdoor อำแพง_c620,04/08/2026 14:16,
54,9121000576786501,3442j9042,-28.24,0-0-4-5-20,สมุทรสาคร_C600,04/08/2026 10:12,
55,9121000576787201,3447j7941,-28.862,3-0-5-6-3,กระทุ่มแบน_C600,04/08/2026 10:10,
56,9121000575870901,3447j9099,-29.21,2-1-2-15-18,บางปิ้ง_C600,31/07/2026 14:20,
57,9121000575868401,3448j9733,-28.24,0-0-2-7-2,บ้านแพ้ว_C600,31/07/2026 10:15,
58,9121000575683101,3442j7836,-28.54,2-0-2-1-43,คอกกระบือ_C600,30/07/2026 22:54,
59,9121000575256001,5030330447,-8.03,0-0-1-10-1,NT1_ZYXEL คอกกระบือ_10.158.41.135,28/07/2026 17:04,
60,9121000574953801,3447j6288,-28.24,1-1-2-8-7,เอเซียนคร,27/07/2026 17:24,
61,9121000574500601,3441j3913,-28.24,1-1-2-4-11,ท่าฉลอม,25/07/2026 17:36,
62,9121000574550501,3442j0896,-28.24,2-0-2-12-7,คอกกระบือ_C600,25/07/2026 15:22,
63,9121000575269201,3442j3685,-29.588,2-0-5-14-6,วิเศษสุข_C600,23/07/2026 10:07,
64,9121000574079201,3441j3090,-28.24,0-0-4-5-46,สมุทรสาคร_C600,23/07/2026 10:02,
65,9121000573572701,3441j5415,-28.24,1-1-5-3-1,นิคมอุตสาหกรรมสมุทรสาคร,21/07/2026 17:01,
66,9121000573380301,3448j9494,-28.24,1-1-2-13-5,OLT Outdoor แยกไฟแดงยกกระบัตร,20/07/2026 18:44,
67,9121000572923001,3448j9870,-28.54,1-1-1-4-17,เกษตรพัฒนา ม.3,18/07/2026 17:11,
68,9121000572742801,3442j2428,-28.532,2-1-6-5-10,บางปิ้ง_C600,17/07/2026 15:49,
69,9121000572304601,3442j3929,-28.24,0-0-2-1-2,พันท้าย ม.5(วัดสหกรณ์),15/07/2026 18:34,
70,9121000572284301,3441j4388,-28.862,2-1-3-3-16,บางปิ้ง_C600,15/07/2026 13:20,
71,9121000572045501,3441j0589,-29.21,2-0-3-7-4,คอกกระบือ_C600,14/07/2026 14:28,
72,9121000571351101,3441j0266,-28.862,1-1-5-4-20,นิคมอุตสาหกรรมสมุทรสาคร,11/07/2026 17:01,
73,9121000570957001,3442j5996,-28.862,2-1-4-1-31,บางปิ้ง_C600,09/07/2026 18:50,
74,9121000570956201,3441j2708,-30.0,2-0-4-5-4,คอกกระบือ_C600,09/07/2026 14:44,
75,9121000570956901,3441j4328,-28.24,2-1-3-13-12,บางปิ้ง_C600,09/07/2026 11:40,
76,9121000569527801,3442j7941,-28.24,1-1-4-7-3,นิคมอุตสาหกรรมสมุทรสาคร,03/07/2026 17:01,
77,9121000569586801,3442j7787,-29.21,2-0-2-1-11,คอกกระบือ_C600,03/07/2026 10:32,
78,9121000567980501,5030300430,-32.218,0-0-1-12-5,NT1_ANYA-MUNTANA-VILLAGE_10.158.20.135,26/06/2026 17:04,
79,9121000567980401,5030114644,-30.0,0-0-1-16-7,NT1_สค.สมุทรสาคร_10.158.19.140,26/06/2026 17:02,
80,9121000567980201,5030050007,-28.7,0-0-1-8-1,NT1_สค.สมุทรสาคร_10.158.19.140,26/06/2026 17:02,
81,9121000567709001,5030348348,-30.456,0-0-1-1-9,NT1_SiteNT2_10.158.20.136,25/06/2026 17:03,
82,9121000567708901,5030391587,-30.456,0-0-1-15-22,NT1_ANYA-MUNTANA-VILLAGE_10.158.20.134,25/06/2026 17:03,
